----------------------------------------------------------------
### SELECT a1,a4,a5,a6,a7,a8,a9,a10,a11 WHERE a1 == "National" ###
----------------------------------------------------------------
geoid,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza
National,65 years and older,2017-18,201744,27,2588,2615,39463,6.6264602286
National,All,2017-18,201744,36,3214,3250,53679,6.0545092122
National,18-64 years,2017-18,201747,11,569,580,13460,4.309063893
National,18-64 years,2015-16,201615,80,766,846,13641,6.2018913569
National,18-64 years,2017-18,201744,6,609,615,13508,4.5528575659
National,All,2017-18,201747,48,3201,3249,54120,6.0033259424
National,All,2015-16,201615,196,3891,4087,53490,7.640680501
National,65 years and older,2015-16,201615,112,3108,3220,39151,8.2245664223
National,0-17 years,2015-16,201615,4,17,21,692,3.0346820809
National,0-17 years,2017-18,201747,2,21,23,688,3.3430232558
National,0-17 years,2017-18,201744,3,17,20,704,2.8409090909
National,65 years and older,2017-18,201747,35,2611,2646,39969,6.6201306012
National,0-17 years,2012-13,201322,0,9,9,745,1.2080536913
National,18-64 years,2016-17,201727,8,508,516,13802,3.7385886103
National,18-64 years,2016-17,201706,64,693,757,14344,5.2774679308
National,All,2015-16,201635,5,2869,2874,49579,5.7968091329
National,All,2016-17,201706,419,4447,4866,59038,8.2421491243
National,65 years and older,2015-16,201635,1,2304,2305,35816,6.4356712084
